ID,event.title,Volumes,vol.ID (from Volumes),event.type,event.month,event.date,event.year,event.location,event.address,event.city,event.state,event.country,source.publication,notes
37,Community Happening,Babe2.1,Babe2.1,Event Advertisement,NA,NA,NA,Maud's Study,937 Cole St,San Francisco,CA,USA,NA,"Restaurant with ""community happening"" every weekend - happening to be a gay women's bar"
38,Benefit for the Women's Center,Babe2.1,Babe2.1,Event Advertisement,04,11,1971,Women's Center,1389 Howard,San Francisco,CA,USA,NA,celebration raising money for the Women's Center - childcare provided
39,Women's Costume Party,Babe2.1,Babe2.1,Event Advertisement,04,17,1971,NA,NA,San Francisco,CA,USA,NA,Phone number for information - fundraiser for a woman's bail fund
40,Gay Women Picnic,Babe2.1,Babe2.1,Event Advertisement,04,25,1971,parking lot by the Cliff House,NA,San Francisco,CA,USA,NA,picnic planned by gay women to eat and spend the day together on the bay
41,United Auto Worker Union Resolution,Babe1.7,Babe1.7,Advocacy,NA,NA,NA,NA`,NA,Atlantic City,NJ,USA,Philadelphia W.L. Newsletter,"Call for repeal of reform of abortion laws, national program of child care campaigns to end exploitation of domestic workers, opening up higher paying and skilled jobs to women"
42,Sanchez Sex Discrimination Court Order,Babe1.7,Babe1.7,Advocacy,NA,NA,NA,NA,NA,New York City,NY,USA,NA,9 Year old girl - Bonnie Sanchez -barred from taking a school metal work class obtained a federal court order directing the NYC school district to show cause why she should not be admitted
43,Radical Women's Media Conference,Babe1.7,Babe1.7,Meeting Report,04,25,1970,NA,NA,New York City,NY,USA,LNS,"Meeting of 150 women for the first radical women's media conference - discussed terror tactics by male editors to keep women staff divided/subservient

Women from LNS now working on an internal newsletter to share ideas and problems"
44,Operation Mode In - Liberation of Upper West Side,Babe1.7,Babe1.7,Protest Report,04,19,1970,NA,NA,New York City,NY,USA,LNS,Women from the upper west side women's liberation childcare collective squatting in a liberated space in the Upper West Side as part of Operation Move In (attempt by community residents to reclaim the public housing the city has been denying them for years - city allowing them to go vacant)
45,Harassment of Arrested Women ,Babe1.7,Babe1.7,Oppression Report,NA,NA,NA,14th Precinct,NA,New York City,NY,USA,NA,Women who participated in the sit-in at Grove Press (described in last issue of Babe) reporting harassment after overnight stay
46,March to Repeal Penn. Abortion Laws,Babe1.7,Babe1.7,Protest Report,04,23,1970,NA,NA,Philadelphia,PA,USA,Philadelphia W.L. Newsletter,Demonstration timed with court hearing of injunction filed by a group of Catholic physicians to prevent Jefferson hospital from performing abortions
47,Charge of Universities with Discrimination,Babe1.7,Babe1.7,Protest Report,04,06,1970,NA,NA,NA,NA,USA,"""Female Liberation News Letter, Minn.""","Women's Equity Action League and NOW charging Harvard, U of Maryland, UNC, and CUNY with discrimination in admissions, financial assistance, hiring, promotion, and pay"
48,Women's Liberation Retreat,Babe1.7,Babe1.7,Event Advertisement,09,01,1970,Camp Cibola,NA,Taos,NM,USA,NA,Retreat put together by a group of women in San Francisco and Albuquerque - invitation extended nationwide
49,Abortion Initiative Project,Babe1.7,Babe1.7,Call to Organize,06,15,1970,NA,NA,NA,CA,USA,Everywoman L.A.,"Deadline to collect 325,173 signatures on petitions seeking an initiative to be put on the ballot to protect abortion - seeking support from sourthern California (Santa Barbara, Reseda, Los Angeles, Pasadena, Manhattan Beach, Garden Grove, and San Diego)"
50,Protest of Amerika in Southeast Asia,Babe1.7,Babe1.7,Protest Report,05,08,1970,Federal Building,NA,San Francisco,CA,USA,"""CYNTHIA, I.A.M.B Reporter""",Feminist demonstration against American military prescence and actions in southeast Asia - marched to the federal building - listed as first of its kind in the Bay Area
51,KSAN Protest,Babe1.7,Babe1.7,Protest Report,NA,NA,NA,KSAN Radio Station,NA,San Francisco,CA,USA,NA,Protest by members of Red Witch to demand a time allotment for women's liberation programming
52,Distribution of W.L. Literature in the Bay area,Babe1.7,Babe1.7,Protest Report,NA,NA,NA,NA,NA,Berkeley,CA,USA,NA,"Free Women's Press beginning project of distribution of W.L. literature in the Bay Area looking to complete women's sections in book stores, drug stores, and supermarkets"
53,Protest of the APA section on Human Sexuality,Babe1.7,Babe1.7,Protest Report,05,14,1970,NA,NA,San Francisco,CA,USA,"""SUE, I.A.M.B. Reporter""",Protest attempts during a presentation at the APA conference regarding shock therapy for homosexuality resulting in an altercation
54,Protest of WIN,Babe1.7,Babe1.7,Call to Organize,NA,NA,NA,NA,NA,Oakland,CA,USA,Berkeley Barb,Protest forming over the exclusion of women from training through the welfare Work Incentive Program (WIN)
55,L.A. Congress to Unite Women,Babe1.7,Babe1.7,Protest Report,05,16,1970,L.A. Trade Technical College,NA,Los Angeles,CA,USA,NA,first L.A. Conference to Unite Women gathering women from different W.L. organizations for discussion on various topics
56,W.L. State Conference,Babe1.7,Babe1.7,Protest Report,05,09,1970,NA,NA,Santa Barbara,CA,USA,NA,State conference of W.L. groups meeting to discuss various topics - demonstration at Miss Santa Barbara beauty pageant (two contestants joined)
57,Outlawing Job Discrimination Based on Sex,Babe1.7,Babe1.7,Advocacy,NA,NA,NA,NA,NA,Sacramento,CA,USA,NA,Senate Industrial Relations Committee approved assembly-passed legislation outlawing job discrimination based on sex
58,Grinnell Women's Liberation Article,Babe1.7,Babe1.7,Protest Report,NA,NA,NA,Grinnell College,NA,Grinnell,IA,USA,LNS,Grinnell College student paper published article by RA criticizing women's liberation - Grinnell Women's Liberation responded by demonstrating at the dorms (first action of many group members)
59,Picket of Playboy Mansion Moratorium,Babe1.7,Babe1.7,Protest Report,04,15,1970,Playboy Mansion,NA,Chicago,IL,USA,Chicago Women's Liberation Union Newsletter,"semi-obstructionist picket in front of Playboy mansion where moratorium committee was holding a fund-raising dinner - protesting location choice, not the fund-raising itself"
60,Call for Child Care Support at Contra Costa Community College,Babe1.7,Babe1.7,Call to Organize,NA,NA,NA,Contra Costa Community College,NA,Richmond,CA,USA,NA,petition shared by Young Partisans calling for college to provide assistance for childcare for students and workers - additional call for support from readers to work on the nursery initiative
61,Washington University Rally,Babe1.7,Babe1.7,Protest Report,04,23,1970,Washington University,NA,St. Louis,MO,USA,"""The Underground Woman, St. Louis""",rally demanding the university sever its connections with the ROTC and war related industries to redirect resources to local community - additionally reinsate 15 suspended students and use resources to free students jailed for dissent
62,Assistance Request for Relocation,Babe1.7,Babe1.7,Oppression Report,NA,NA,NA,Saint Josephs College,NA,Rennselaer,IN,USA,NA,2 students requesting assistance in the relocation to San Francisco - part of school that has only been co-ed for 2 years and facing harassment/neglect in 12 person organization at school with only 200 women
63,Pan-Canadian Conference Discussion,Babe1.7,Babe1.7,Event Advertisement,05,28,1970,NA,NA,Montreal,ON,CAN,LNS,"Women in Canada (mainly immigrants from USA) gathering to discuss male supremacist orientation of Deserters and Resistance Groups during Pan-Canadian conference - aiming to develop solidarity among groups and emphasize role of deserter and resistance groups, did ont include women as inegrel part"
64,Co-Op Daycare Center at University of Toronto,Babe1.7,Babe1.7,Protest Report,NA,NA,NA,University of Toronto,NA,Toronto,ON,CAN,Pedestal,Success of sit-in by women (first at the University) to demand funds granted by University to renovate building to house a co-op day care centre 
65,Abortion Lobby of House of Commons,Babe1.7,Babe1.7,Protest Report,NA,NA,NA,House of Commons,NA,Ottawa,ON,CAN,NA,"Abortion Lobby forced House of Commons to adjourn for an hour to remove women who had chained themselves to seats in the public galleries (about 40-50) - chanting ""free abortion now"" in protest of Criminal Code dealing of abortion"
66,Meeting over UC Strike,Babe1.7,Babe1.7,Meeting Report,05,13,1970,NA,NA,Berkeley,CA,USA,"""SUE, I.A.M.B. Reporter""",Meeting called by Berkeley Women's Liberation for all women's groups in the area to discuss role of women in the U.C. Strike - inclusion of report for each group's recent initiatives and information
67,Call for Distributors,Babe1.7,Babe1.7,Call to Organize,NA,NA,NA,NA,NA,NA,CA,USA,NA,Gay Women's Liberation request for distributors and places to put material from Free WOmen's Press - phone number provided
68,Call for Poetry Entry and Readers,Babe1.7,Babe1.7,Event Advertisement,NA,NA,NA,NA,NA,NA,CA,USA,NA,Gay Women's Liberation seeking poems and drawings as well as non-poet readers - phone number provided
69,Call for Speakers,Babe1.7,Babe1.7,Event Advertisement,NA,NA,NA,NA,NA,NA,CA,USA,NA,"Gay Women's Liberation seeking speakers to be sent to high schools, colleges, and other groups"
70,Gay Women's Liberation Party,Babe1.7,Babe1.7,Event Advertisement,05,30,1970,Sherwood Forest,Bancroft and Dana,Berkeley,CA,USA,NA,Advertisement for party where all sisters are welcome - sideways on the page?
71,Request for Child Care Study Committee,Babe1.8,Babe1.8,Protest Report,05,26,1970,Berkeley City Council,NA,Berkeley,CA,USA,Alison - WFF,Women of the Free Future requesting Berkeley City Council to grant funding to split the cost of a child care project 
72,Southern Female Rights Union Conference,Babe1.8,Babe1.8,Meeting Report,05,25,1970,NA,NA,Berkeley,CA,USA,"""Susy, I.A.M.B Reporter""",Visit by Roxanne Dunbar and Martha Adkins of new group Southern Female Rights Union after weekend conference at Santa Cruz - focus on importance of south to resist counter revolution
73,Election Day Rally ,Babe1.8,Babe1.8,Protest Report,NA,NA,NA,University of California,NA,Berkeley,CA,USA,Alison - WFF,Women of the Free Future burning various items on campus in protest of the irrelevance of present-day education to women's needs and discrimination of against educated women in the job market
74,San Francisco Chronicle Protest,Babe1.8,Babe1.8,Protest Report,06,04,1970,San Francisco Chronicle Office,NA,San Francisco,CA,USA,"""Peggy, I.A.M.B. Reporter""",Group of about 50 women's liberation members invaded offices to demand end of the Chronicle sexism
75,Bartenders Union Strike and Picketing,Babe1.8,Babe1.8,Protest Report,NA,NA,NA,Bartenders Union,MacDonald Ave,Richmond,CA,USA,Richmond Freedom News,Bartenders and Culinary workers Union and Office and Professional Employees Union on strike/picketing several restaurants and offices of Contra Costa County
76,Bills Introduced in CA State Senate,Babe1.8,Babe1.8,"Advocacy,Call to Organize",NA,NA,NA,State Senate,NA,Sacramento,CA,USA,NA,list of bills being introduced by Senator Mervyn Dymally in support of women's liberation initiatives - calling for additional support by readers writing to their legislators
77,Call for Support of Women's Studies Programs,Babe1.8,Babe1.8,Call to Organize,NA,NA,NA,San Diego Women's Liberation Office,NA,San Diego,CA,USA,NA,"success of San Diego Women's Liberation campaigning at SDSC, calling for groups at other schools to contact them to share experiences"
78,Re-Incarceration of Francis Carter,Babe1.8,Babe1.8,Oppression Report,NA,NA,NA,NA,NA,New Haven,CT,USA,LNS,Recount of New Haven-9 of Black Panthers and year of incarceration for murder of another member (believed to be at the hands of police) - Francis Carter granted bail but called back into court 48 hours later to testify against fellow Panthers and re-incarcerated for contempt of court when she refused
79,Petition to Repeal Abortion Laws in TX,Babe1.8,Babe1.8,Protest Report,NA,NA,NA,NA,NA,Austin,TX,USA,The Militant,Austin Women's Liberation initiating a petition to support the repeal of all abortion laws in TX coming up for revision
80,Suit Against Colorado Dept. of Labor,Babe1.8,Babe1.8,Protest Report,NA,NA,NA,NA,NA,NA,CO,USA,The Militant,Three chicano women filed suit against Colorado Dept of Labor and Employment for not investigating low wages paid to women and children agricultural workers (50 cents an hour)
81,Women of the Twin Cities Female Liberation,Babe1.8,Babe1.8,Meeting Report,NA,NA,NA,NA,NA,Minneapolis-Saint Paul,MN,USA,Twin Cities Female Liberation Newsletter,Report of notes from recent meeting about the role of men within the movement
82,Walk Out Against New York Bell,Babe1.8,Babe1.8,Protest Report,05,08,1970,NA,NA,New York City,NY,USA,LNS,"wildcat walkout of 2,000 women telephone operators against New York Bell and the Telephone Transit Union (TTU) over wage increases"
83,Random House Secretary Protest,Babe1.8,Babe1.8,Protest Report,NA,NA,NA,Random House Publishing,NA,New York City,NY,USA,LNS,"secretary at Random House publishing taped same label that is plastered over sexist ads on subways that says ""THIS EXPLOITS WOMEN"""
84,Appeal to Assure Equal Pay Turned Down,Babe1.8,Babe1.8,Advocacy,NA,NA,NA,NA,NA,NA,DC,USA,NA,"SCOTUS unanimously declined to hear attorneys for an appeal of federal court ruling in favor of Wheaton Glass Company's practice of paying women less than men due to performing more ""bulky"" tasks"
85,Southern Female Rights Union Conference,Babe1.8,Babe1.8,Meeting Report,NA,NA,NA,NA,NA,New Orleans,LA,USA,Great Speckeled Bird,conference sponsored by Southern Female Rights Union in New Orleans covering variety of topics and workshops
86,National Women's Strike,Babe1.8,Babe1.8,Call to Organize,08,26,1970,NA,NA,Chicago,IL,USA,NA,"Call for a protest of legal, financial, and social inequality of women on what was formerly Susan B. Anthony Day - information provided for those interested in helping organize"
87,Protested Speech of William Kunstler,Babe1.8,Babe1.8,Protest Report,NA,NA,NA,Boston University,NA,Boston,MA,USA,The Old Mole,disruption of speech by Chicago Conspiracy lawyer William Kunstler by Boston University Women's Liberation over elitist and sexist remarks
88,Community Meeting,Babe1.8,Babe1.8,Meeting Report,NA,NA,NA,"Women's Caucus Room, Baker Bldg.",NA,Seattle,WA,USA,Helix,meeting between women from the University and the community to share interest and discuss goals
89,Equal Authority Granted to French mothers,Babe1.8,Babe1.8,Advocacy,04,16,1970,French National Assembly,NA,Paris,NA,FRA,The Militant,"French National Assembly voted to give mothers equal authority over children with fathers - prior to this fathers signature/approval required for enrollment in school, exams, etc."
90,Report of Houston Organizing,Babe1.8,Babe1.8,"Meeting Report,Call to Organize",NA,NA,NA,NA,NA,Houston,TX,USA,sister passin' thru,"report of organizations and activity in Houston area - noting that communication with organizations outside of TX as been lacking - seeking additional members as well as connection with other groups
"
91,State Senate Abortion Hearings,Babe1.9,Babe1.9,Call to Organize,NA,NA,NA,State Senate,NA,NA,CA,USA,NA,Call for women interested in showing support for abortion law repeal after Sacramento Women's Liberation denied permission to speak at hearings
92,Destruction of Free University Publications,Babe1.9,Babe1.9,Protest Report,NA,NA,NA,Free University,NA,Berkeley,CA,USA,NA,Protest of chauvinistic article about women's only values being as sexual objects - catalogs stolen and stamped with advertisement for joining women's liberation groups before being returned
93,Alameda County Welfare Protest,Babe1.9,Babe1.9,Protest Report,NA,NA,NA,NA,NA,Berkeley,CA,USA,SUSAN,protest of the Alameda County Board of Supervisors over quality of life of welfare mothers and lack of representation on the board
94,Amendment to Assembly Bill 22,Babe1.9,Babe1.9,Oppression Report,06,10,1970,State Senate,NA,Berkeley,CA,USA,N.O.W.,"Bill amended to nullify any positive action toward ending job discrimination - seeking to add ""sex"" to California Fair Employment Practice Act "
95,Berkeley Motors Picket,Babe1.9,Babe1.9,Protest Report,NA,NA,NA,Berkeley Motors,2352 Shattuck,Berkeley,CA,USA,Kay - W.F.F,Support of a community woman who was picketing alone after the misrepresentation of the value of her car - small claims court - dealership attempts to pay her off
96,Phoenix Art Gallery Exploitation,Babe1.9,Babe1.9,"Oppression Report,Protest Report",NA,NA,NA,The Phoenix,NA,Berkeley,CA,USA,ALTA,Protest of Phoenix art gallery with poor reputations among women artists - demonstration causing reported embarrassment from some participants due to it being a benefit for Vietnamese children
97,Alternative to TTU,Babe1.9,Babe1.9,Protest Report,NA,NA,NA,NA,NA,New York City,NY,USA,LNS,Proposal for alternative to TTU after walkout by operators
98,Construction Site/Playboy Club Protest,Babe1.9,Babe1.9,Protest Report,NA,NA,NA,NA,NA,New York City,NY,USA,Linda-New York Correspondent,100 women from Bitch (NYC women's liberation group) staged a demonstration at a construction site - returning the cat calls and sexual insults to workers - crowd later marched to the Playboy Club and spoke to patrons about sexism and chauvinism until being asked to leave by police
99,Women's Rights Demonstration,Babe1.9,Babe1.9,"Protest Report,Event Advertisement",NA,NA,NA,New York Supreme Court,NA,New York City,NY,USA,Linda-New York Correspondent,New group - Women's Rights - focused on marriage and divorce laws - planning protest at New York Supreme Court to protest double standards
100,Argentinian Gynecologist Invents New Birthing Chair ,Babe1.9,Babe1.9,Advocacy,NA,NA,NA,NA,NA,NA,NA,ARG,Twin Cities Female Liberation Newsletter,"Argentinian gynecologist, Dr. Tucho Perrusi, designed chair to allow women to give birth in an upright position - about 100 distributed in the US but theory that upright is the healthiest/best position not being met with much enthusiasm"
101,Electric Fetus Protest,Babe1.9,Babe1.9,Protest Report,05,22,1970,Electric Fetus,NA,Minneapolis,MN,USA,Twin Cities Female Liberation Newsletter,Protest at Electric Fetus (local poster shop) to confront management about sexism displayed in their store - reprint of demands made
102,Workcamp Cancellation,Babe1.9,Babe1.9,Event Advertisement,NA,NA,NA,NA,NA,Taos,NM,USA,NA,Cancellation of workcamp held by Southwestern Female Rights Union after decision that they have no right to camp in the midst of a Chicano community
103,San Francisco Museum of Art's Exhibition of Women Artists,Babe1.9,Babe1.9,Event Advertisement,NA,NA,NA,San Francisco Museum of Art,NA,San Francisco,CA,USA,NA,"Third annual exhibition of women artists ""now through July 19, 1970"""
104,Santa Rosa Fair Protest,Babe1.11,Babe1.11,Protest Report,07,23,1970,NA,NA,Santa Rosa,CA,USA,Agressa,Protest of multiple booths at the Santa Rosa Fair - first action of Santa Rosa Women's Liberation - passing out leaflets
105,Margaret Wright Protest Trial,Babe1.11,Babe1.11,"Protest Report,Advocacy",NA,NA,NA,BSU at Valley State College,NA,Los Angeles,CA,USA,NA,"Margaret Wright arrested after protest at BSU at Valley State College - support by over 200 members of the community, resulting in a reduced sentence"
106,ACLU Appeal of Idaho Statute,Babe1.11,Babe1.11,Advocacy,NA,NA,NA,United States Supreme Court,NA,NA,DC,USA,NA,"Appeal filed by ACLU states discrimination against women would not be tolerated against any other class of people, seeking to overturn Idaho Statute that denied woman's right to administer her son's estate - men as better qualified"
107,El Roach Tavern Protest,Babe1.11,Babe1.11,Protest Report,NA,NA,NA,El Roach Tavern,NA,Seattle,WA,USA,NA,"Minor victory at El Roach Tavern, favorite movement hangout, took down a male supremacist sign after conflict between management and Radical Women - supported by Seattle Liberation Front (SLF)"
108,First Women's Studies Program,Babe1.11,Babe1.11,Advocacy,NA,NA,1970,San Diego State College,NA,San Diego,CA,USA,NA,First complete Women's studies program in the US after proposal by students in SDSC Women's Liberation organized an adhoc committee
109,Firing at UC Extension Picketing,Babe1.11,Babe1.11,"Oppression Report,Protest Report",NA,NA,NA,U.C. Extension,NA,Berkeley,CA,USA,NA,Picketing at UC extension building over the firing of a black woman on last day of her probationary period over conflict 
110,Women's Liberation Protest with IUE local 854,Babe1.11,Babe1.11,Protest Report,NA,NA,NA,RCA Plant,NA,Van Nueys,CA,USA,NA,Women's Liberation members joined a protest at the RCA Plant in Van Nueys by IUE local 854 (International Union of Electricians) over equal employment opportunities and equal pay
111,KPFA Protest,Babe1.11,Babe1.11,Protest Report,NA,NA,NA,KPFA Radio Station,NA,Berkeley,CA,USA,NA,Women from Radio Free Women invaded offices to demand the station grant 5 free hours of radio time for programs devoted to women - staff did not grant them time immediately but negotiations ongoing
112,Miss Montana Resignation,Babe1.11,Babe1.11,"Protest Report,Advocacy",NA,NA,NA,NA,NA,Helena,MT,USA,NA,Katherine Huppe of Helena resigned her title of Miss Montana citing restrictions on what she can say or do about politics and other current events
113,Northwestern Region W.L. Conference,Babe1.11,Babe1.11,Meeting Report,07,25,1970,NA,NA,Eugene,OR,USA,NA,Northwestern region W.L. conference with groups gathered to discuss topics - particularly feminism and women in the new left
114,Free Ad from LA Women's Liberation,Babe1.11,Babe1.11,Advocacy,NA,NA,NA,NA,NA,Los Angeles,CA,USA,NA,Free ad obtained from LA Free Press to publicize LA Women's Liberation orientation meetings as reparations for all of the sexist ads the Free Press runs each week
115,Occupation of Welfare Center,Babe1.11,Babe1.11,Protest Report,NA,NA,NA,Government Center,NA,NA,MA,USA,The Old Mole,75 welfare mothers occupied the welfare department's new computer center in Government Center - protest called over having messed up welfare checks/support
116,Visit by Sacramento Sisters,Babe1.11,Babe1.11,Event Advertisement,08,08,1970,Women's Center,1126 Addison,Berkeley,CA,USA,NA,"Advertisement for visit by Sacramento sisters to Berkeley - dinner and mutual rapping, Mime troupe production"
117,Ferozepore Protest,Babe1.13,Babe1.13,Protest Report,NA,NA,NA,NA,NA,Firozpur,PB,IND,NA,Protest rally over male tyranny presided over by Suraksha Rani Sood over treatment of wives
118,El Vino Rebellion,Babe1.13,Babe1.13,Protest Report,06,18,1970,El Vino,Fleet St,London,NA,GBR,NA,Fights broke out at El Vino after group of 30 militant women journalists attempted to storm the building - demonstrating against unwritten law against women standing and drinking at the bar - led by two women at The Sun
119,Demonstration at L'Arc de Triomphe,Babe1.13,Babe1.13,Protest Report,NA,NA,NA,L'Arc de Triomphe,NA,Paris,NA,FRA,NA,Women arrested after trying to lay a wreath in honor of the wife of the unknown soldier at the war memorial L'Arc de Triomphe - including two well known French Writers and one American woman
